ticker,trading_day,rvol30,pctchg_d,dollar_vol_d,close_d,vol_d,vwap_d
GY,2009-08-14,2.844619425486487,0.2333333333333334,6734707.267899998,4.44,1622542.0,4.150713675146775
RTK,2009-08-14,4.901606393503481,0.1693548387096775,31579016.25320999,14.5,2198833.8000000007,14.36171130951779
EJ,2009-08-17,2.9249701417431497,-0.15747663551401858,72325108.11590001,18.03,3898147.0,18.553714910161165
AXL,2009-08-18,7.225801907585328,1.0370370370370368,524213464.76050043,5.5,103487946.0,5.065454335720418
AXL,2009-08-19,4.122742898972009,0.1636363636363638,431465339.2989997,6.4,66216790.0,6.515950702216156
WNC,2009-08-19,2.9376047505302134,0.22754491017964074,8393001.532800002,2.05,4194654.0,2.0008805333646116
ANIK,2009-08-20,22.214100704728832,0.39273014618727764,26346652.713400014,7.05,3624971.0,7.2681002726366675
FNM,2009-08-20,3.028015582465836,0.18279569892473124,237335043.2654003,1.1,223689133.0,1.0610039034189482
FRE,2009-08-20,3.3607226578963285,0.19696969696969702,261943390.1274999,1.58,171157928.0,1.5304192635908744
FRZ,2009-08-20,7.297646565303746,0.19199999999999995,15748000.265699996,4.47,3409694.0,4.618596350786902
RTK,2009-08-20,4.477572237296359,-0.17180616740088095,105935272.48547995,18.8,5126793.6,20.66306560214945
MPG,2009-08-21,4.669837806241097,0.22549019607843146,9023532.054599997,1.25,7098417.0,1.2712034323427317
SBGI,2009-08-21,5.452630215458069,0.2897196261682242,13663175.559000006,2.76,4504167.0,3.033452258541925
BCRX,2009-08-24,3.4460559949263483,0.2789999999999999,102817961.12050003,12.79,8943063.0,11.496951449464241
FNM,2009-08-24,7.537405601420151,0.38524590163934436,1371489903.5873013,1.69,831088122.0,1.6502340332897951
FRE,2009-08-24,5.599940391716569,0.15294117647058814,809600157.0820994,1.96,386322150.0,2.0956607253353177
MERC,2009-08-24,10.222383950490935,0.517241379310345,10369507.988199992,2.64,4045258.0,2.5633737052618133
OSIR,2009-08-24,7.204471083813354,0.15265306122448963,20803528.471400026,14.12,1517374.0,13.71021809481382
BEE,2009-08-25,4.977044597133589,0.15384615384615374,11828148.2835,1.5,8072225.0,1.4652897167137935
CASM,2009-08-25,27.39197922030796,0.8513323983169707,10433504.323399998,2.64,4106485.0,2.5407384474556705
FRZ,2009-08-25,3.3823162437742256,0.3584585269215348,10529808.810000002,5.76,1984317.0,5.306515445868781
IVN,2009-08-25,4.462121696666715,0.2448275862068967,135916354.5412999,10.83,13113353.0,10.36472933667689
MIC,2009-08-25,3.877148251991341,0.19400352733686055,11176141.7795,6.77,1766711.0,6.325959242626553
RAS,2009-08-25,2.6492994722623306,0.20000000000000018,8000613.878787542,8.46,995356.9988999995,8.037934015262135
SVR,2009-08-25,6.691813726466058,0.2521172638436482,91573469.53739998,19.22,4930109.0,18.574329601515906
WLDN,2009-08-25,25.46405468995122,1.2254335260115607,5003402.604500002,3.85,1214677.0,4.11912187725626
BEAT,2009-08-26,4.166886108016924,0.31054977711738485,45182280.58530002,8.82,5708187.0,7.915346954348205
EK,2009-08-26,4.631765671405596,0.2192982456140351,152243393.60410002,5.56,29366120.0,5.184321034038546
FRP,2009-08-26,5.199429277487933,0.6458333333333335,5697824.823599997,0.79,9841265.0,0.5789728072153323
GTN,2009-08-26,13.109251804643382,0.28205128205128194,9681987.181100005,1.0,10136798.0,0.9551326938842034
ISLE,2009-08-26,5.324207732766157,-0.1747181964573269,25214237.345100004,10.25,2440346.0,10.332238684637344
LJPC,2009-08-26,4.860793723781583,0.6301579215486501,5232703.206304,16.0,425679.60000000015,12.29258626982359
NYMX,2009-08-26,27.17593928493065,0.2727272727272727,14714151.604199998,5.46,2489480.0,5.910532161013545
TA,2009-08-26,10.507801043885987,0.18644067796610164,5340071.943699997,3.5,1570504.0,3.4002281711476043
TPTX,2009-08-26,16.61478036053699,1.5190476190476194,6354652.8841993455,8.993,777780.588599999,8.170238467429083
ABK,2009-08-27,5.78136965334282,0.48,177828043.72079995,1.85,112988082.0,1.5738654960157652
BEAT,2009-08-27,2.7313674996348585,-0.16666666666666674,30281271.037499987,7.35,3962689.0,7.641596662644983
